Time,U_A1,U_B1,I_A,U_2,f,
0.1,0.225,-0.015,-0.015,2.25,NAN,
0.2,0,-0.01,-0.01,0,NAN,
0.4,0,-0.04,-0.04,0,NAN,
0.5,0.03,-0.05,-0.05,0.3,NAN,
0.6,0.21,-0.015,-0.015,2.1,NAN,
0.7,0.21,-0.005,-0.005,2.1,NAN,
0.8,0.24,0,0,2.4,NAN,
0.9,0.255,-0.045,-0.045,2.55,NAN,
1,0.18,-0.01,-0.01,1.8,NAN,
1.1,0.18,-0.01,-0.01,1.8,NAN,
1.2,0.21,-0.01,-0.01,2.1,NAN,
1.3,0.24,-0.01,-0.01,2.4,NAN,
1.4,0.27,-0.005,-0.005,2.7,NAN,
1.5,0.285,-0.03,-0.03,2.85,NAN,
1.6,0.315,-0.03,-0.03,3.15,NAN,
1.7,0.33,-0.03,-0.03,3.3,NAN,
1.8,0.36,0.02,0.02,3.6,NAN,
1.9,0.39,0.025,0.025,3.9,NAN,
2,0.42,0.045,0.045,4.2,NAN,
2.1,0.45,0.065,0.065,4.5,NAN,
2.2,0.465,0.1,0.1,4.65,NAN,
2.3,0.495,0.14,0.14,4.95,NAN,
2.4,0.525,0.16,0.16,5.25,NAN,
2.5,0.555,0.14,0.14,5.55,NAN,
2.6,0.585,0.09,0.09,5.85,NAN,
2.7,0.6,-0.01,-0.01,6,NAN,
2.8,0.63,-0.02,-0.02,6.3,NAN,
2.9,0.645,0.025,0.025,6.45,NAN,
3,0.675,0.015,0.015,6.75,NAN,
3.1,0.705,0.01,0.01,7.05,NAN,
3.2,0.735,0.01,0.01,7.35,NAN,
3.3,0.75,0.025,0.025,7.5,NAN,
3.4,0.78,0.025,0.025,7.8,NAN,
3.5,0.81,0.04,0.04,8.1,NAN,
3.6,0.84,0.065,0.065,8.4,NAN,
3.7,0.87,0.1,0.1,8.7,NAN,
3.8,0.885,0.035,0.035,8.85,NAN,
3.9,0.915,0.08,0.08,9.15,NAN,
4,0.945,0.14,0.14,9.45,NAN,
4.1,0.975,0.395,0.395,9.75,NAN,
