Time,U_A1,U_B1,I_A,U_2,f,
0,0.24,-0.02,-0.02,2.4,NAN,
0.1,0.015,0.01,0.01,0.15,NAN,
0.2,0.255,0.045,0.045,2.55,NAN,
0.3,0.21,0,0,2.1,NAN,
0.4,0.21,0.12,0.12,2.1,NAN,
0.5,0.255,0.015,0.015,2.55,NAN,
0.6,0.315,0.01,0.01,3.15,NAN,
0.7,0.3,0.015,0.015,3,NAN,
0.8,0.3,0.025,0.025,3,NAN,
0.974,0.375,0.07,0.07,3.75,NAN,
1,0.39,0.055,0.055,3.9,NAN,
1.1,0.405,0.055,0.055,4.05,NAN,
1.2,0.435,0.1,0.1,4.35,NAN,
1.3,0.465,0.115,0.115,4.65,NAN,
1.4,0.495,0.135,0.135,4.95,NAN,
1.5,0.51,0.175,0.175,5.1,NAN,
1.6,0.525,0.185,0.185,5.25,NAN,
1.7,0.555,0.15,0.15,5.55,NAN,
1.8,0.585,0.105,0.105,5.85,NAN,
1.988,0.63,0.065,0.065,6.3,NAN,
2,0.63,0.045,0.045,6.3,NAN,
2.1,0.66,0.03,0.03,6.6,NAN,
2.2,0.69,0.025,0.025,6.9,NAN,
2.3,0.705,0.02,0.02,7.05,NAN,
2.4,0.735,0.025,0.025,7.35,NAN,
2.5,0.765,0.03,0.03,7.65,NAN,
2.6,0.795,0.04,0.04,7.95,NAN,
2.7,0.81,0.055,0.055,8.1,NAN,
2.8,0.84,0.08,0.08,8.4,NAN,
3.002,0.885,0.135,0.135,8.85,NAN,
3.015,0.885,0.215,0.215,8.85,NAN,
3.1,0.9,0.245,0.245,9,NAN,
3.2,0.93,0.3,0.3,9.3,NAN,
3.3,0.96,0.375,0.375,9.6,NAN,
3.4,0.975,0.455,0.455,9.75,NAN,
3.5,1.005,0.47,0.47,10.05,NAN,
3.6,1.035,0.45,0.45,10.35,NAN,
3.7,1.065,0.33,0.33,10.65,NAN,
3.8,1.08,0.225,0.225,10.8,NAN,
4.016,1.14,0.12,0.12,11.4,NAN,
4.028,1.14,0.1,0.1,11.4,NAN,
4.1,1.17,0.06,0.06,11.7,NAN,
4.2,1.2,0.05,0.05,12,NAN,
4.3,1.215,0.04,0.04,12.15,NAN,
4.4,1.23,0.05,0.05,12.3,NAN,
4.5,1.26,0.055,0.055,12.6,NAN,
4.6,1.29,0.085,0.085,12.9,NAN,
4.7,1.32,0.115,0.115,13.2,NAN,
4.8,1.335,0.185,0.185,13.35,NAN,
4.9,1.365,0.265,0.265,13.65,NAN,
5.046,1.41,0.445,0.445,14.1,NAN,
5.1,1.425,0.475,0.475,14.25,NAN,
5.2,1.44,0.595,0.595,14.4,NAN,
5.3,1.47,0.695,0.695,14.7,NAN,
5.4,1.5,0.745,0.745,15,NAN,
5.5,1.53,0.705,0.705,15.3,NAN,
5.6,1.56,0.595,0.595,15.6,NAN,
5.7,1.575,0.47,0.47,15.75,NAN,
5.8,1.59,0.345,0.345,15.9,NAN,
5.9,1.62,0.25,0.25,16.2,NAN,
6.044,1.665,0.12,0.12,16.65,NAN,
6.1,1.68,0.095,0.095,16.8,NAN,
6.2,1.71,0.085,0.085,17.1,NAN,
6.3,1.725,0.085,0.085,17.25,NAN,
6.4,1.755,0.09,0.09,17.55,NAN,
6.5,1.785,0.125,0.125,17.85,NAN,
6.6,1.815,0.17,0.17,18.15,NAN,
6.7,1.83,0.255,0.255,18.3,NAN,
6.8,1.86,0.35,0.35,18.6,NAN,
6.9,1.89,0.475,0.475,18.9,NAN,
7.074,1.935,0.785,0.785,19.35,NAN,
7.1,1.935,0.755,0.755,19.35,NAN,
7.2,1.95,0.895,0.895,19.5,NAN,
7.3,1.98,0.98,0.98,19.8,NAN,
7.4,2.01,1.015,1.015,20.1,NAN,
7.5,2.025,0.92,0.92,20.25,NAN,
7.6,2.055,0.795,0.795,20.55,NAN,
7.7,2.085,0.645,0.645,20.85,NAN,
7.8,2.115,0.505,0.505,21.15,NAN,
7.9,2.145,0.38,0.38,21.45,NAN,
8.072,2.19,0.335,0.335,21.9,NAN,
8.1,2.19,0.235,0.235,21.9,NAN,
8.2,2.205,0.235,0.235,22.05,NAN,
8.3,2.235,0.195,0.195,22.35,NAN,
8.4,2.265,0.21,0.21,22.65,NAN,
8.5,2.295,0.255,0.255,22.95,NAN,
8.6,2.31,0.34,0.34,23.1,NAN,
8.7,2.34,0.435,0.435,23.4,NAN,
8.8,2.37,0.56,0.56,23.7,NAN,
8.9,2.4,0.705,0.705,24,NAN,
9.086,2.445,1.085,1.085,24.45,NAN,
9.1,2.445,1.01,1.01,24.45,NAN,
9.2,2.475,1.15,1.15,24.75,NAN,
9.3,2.505,1.2,1.2,25.05,NAN,
9.4,2.535,1.205,1.205,25.35,NAN,
9.5,2.55,1.125,1.125,25.5,NAN,
9.6,2.58,0.97,0.97,25.8,NAN,
9.7,2.61,0.88,0.88,26.1,NAN,
9.8,2.625,0.755,0.755,26.25,NAN,
9.9,2.655,0.63,0.63,26.55,NAN,
10.1,2.7,0.485,0.485,27,NAN,
10.113,2.7,0.545,0.545,27,NAN,
10.2,2.73,0.45,0.45,27.3,NAN,
10.3,2.76,0.43,0.43,27.6,NAN,
10.4,2.79,0.435,0.435,27.9,NAN,
10.5,2.82,0.33,0.33,28.2,NAN,
10.6,2.835,0.56,0.56,28.35,NAN,
10.7,2.865,0.65,0.65,28.65,NAN,
10.8,2.88,0.785,0.785,28.8,NAN,
10.9,2.91,0.97,0.97,29.1,NAN,
11.114,2.955,1.315,1.315,29.55,NAN,
11.126,2.97,1.37,1.37,29.7,NAN,
11.2,2.985,1.375,1.375,29.85,NAN,
11.3,3.015,1.455,1.455,30.15,NAN,
11.4,3.045,1.45,1.45,30.45,NAN,
11.5,3.06,1.405,1.405,30.6,NAN,
11.6,3.09,1.34,1.34,30.9,NAN,
11.7,3.105,1.245,1.245,31.05,NAN,
11.8,3.135,1.17,1.17,31.35,NAN,
11.9,3.15,1.1,1.1,31.5,NAN,
12,3.165,1.08,1.08,31.65,NAN,
12.144,3.18,1.075,1.075,31.8,NAN,
12.2,3.18,1,1,31.8,NAN,
12.3,3.18,0.995,0.995,31.8,NAN,
12.4,3.18,0.995,0.995,31.8,NAN,
12.503,3.18,1.05,1.05,31.8,NAN,
12.6,3.18,1.005,1.005,31.8,NAN,
12.7,3.18,1,1,31.8,NAN,
12.8,3.18,0.885,0.885,31.8,NAN,
12.9,3.18,0.99,0.99,31.8,NAN,
13,3.18,1,1,31.8,NAN,
13.142,3.18,1.015,1.015,31.8,NAN,
13.2,3.18,0.995,0.995,31.8,NAN,
13.3,3.18,0.995,0.995,31.8,NAN,
13.4,3.18,0.995,0.995,31.8,NAN,
13.5,3.18,0.995,0.995,31.8,NAN,
13.6,3.18,1.005,1.005,31.8,NAN,
13.7,3.18,1.005,1.005,31.8,NAN,
13.8,3.18,1,1,31.8,NAN,
13.9,3.18,1,1,31.8,NAN,
14,3.18,0.94,0.94,31.8,NAN,
14.156,3.18,0.865,0.865,31.8,NAN,
0,0.135,0,0,1.35,NAN,
0.101,0.15,0.03,0.03,1.5,NAN,
0.211,0.075,-0.03,-0.03,0.75,NAN,
0.304,0,-0.01,-0.01,0,NAN,
0.413,0,-0.025,-0.025,0,NAN,
0.507,0,-0.02,-0.02,0,NAN,
0.601,0,0,0,0,NAN,
0.71,0,-0.02,-0.02,0,NAN,
0.803,0,-0.005,-0.005,0,NAN,
0.913,0,-0.02,-0.02,0,NAN,
1.006,0,-0.015,-0.015,0,NAN,
1.1,0,0,0,0,NAN,
1.209,0,-0.04,-0.04,0,NAN,
1.303,0,0.02,0.02,0,NAN,
1.412,0,-0.02,-0.02,0,NAN,
1.505,0,-0.015,-0.015,0,NAN,
1.615,0,-0.015,-0.015,0,NAN,
1.708,0,0.785,0.785,0,NAN,
1.802,0,0.005,0.005,0,NAN,
1.911,0,-0.025,-0.025,0,NAN,
2.005,0,-0.015,-0.015,0,NAN,
2.114,0,-0.02,-0.02,0,NAN,
2.207,0,-0.015,-0.015,0,NAN,
2.301,0,0.005,0.005,0,NAN,
2.41,0,-0.045,-0.045,0,NAN,
2.504,0,0,0,0,NAN,
2.613,0,-0.02,-0.02,0,NAN,
2.707,0,-0.01,-0.01,0,NAN,
2.8,0,0,0,0,NAN,
2.909,0,-0.025,-0.025,0,NAN,
3.003,0,0.005,0.005,0,NAN,
3.112,0,-0.02,-0.02,0,NAN,
3.206,0,-0.02,-0.02,0,NAN,
3.3,0,0,0,0,NAN,
3.409,0,-0.02,-0.02,0,NAN,
3.502,0,0.01,0.01,0,NAN,
3.611,0,-0.05,-0.05,0,NAN,
3.705,0,-0.005,-0.005,0,NAN,
3.814,0,-0.01,-0.01,0,NAN,
3.908,0,-0.02,-0.02,0,NAN,
4.001,0,0.005,0.005,0,NAN,
4.111,0,-0.02,-0.02,0,NAN,
4.204,0,-0.015,-0.015,0,NAN,
4.313,0,-0.005,-0.005,0,NAN,
4.407,0,-0.02,-0.02,0,NAN,
4.501,0,0,0,0,NAN,
4.61,0,-0.045,-0.045,0,NAN,
4.703,0,0,0,0,NAN,
4.813,0,-0.025,-0.025,0,NAN,
4.906,0,-0.015,-0.015,0,NAN,
5,0,0.01,0.01,0,NAN,
5.109,0,-0.02,-0.02,0,NAN,
5.203,0,-0.01,-0.01,0,NAN,
5.312,0,-0.015,-0.015,0,NAN,
5.405,0,-0.01,-0.01,0,NAN,
5.515,0,0,0,0,NAN,
5.608,0,-0.02,-0.02,0,NAN,
5.702,0,-0.005,-0.005,0,NAN,
5.811,0,-0.04,-0.04,0,NAN,
5.905,0,0,0,0,NAN,
6.014,0,0.055,0.055,0,NAN,
6.107,0,-0.02,-0.02,0,NAN,
6.201,0,-0.005,-0.005,0,NAN,
6.31,0,-0.02,-0.02,0,NAN,
6.404,0,-0.005,-0.005,0,NAN,
6.513,0,-0.01,-0.01,0,NAN,
6.606,0,-0.015,-0.015,0,NAN,
6.7,0,0.01,0.01,0,NAN,
6.809,0,-0.015,-0.015,0,NAN,
6.903,0,0,0,0,NAN,
7.012,0,0,0,0,NAN,
7.106,0,-0.04,-0.04,0,NAN,
7.2,0,0.025,0.025,0,NAN,
7.308,0,-0.02,-0.02,0,NAN,
7.402,0,0,0,0,NAN,
7.511,0,-0.01,-0.01,0,NAN,
7.605,0,-0.02,-0.02,0,NAN,
7.714,0,0.005,0.005,0,NAN,
7.808,0,-0.02,-0.02,0,NAN,
7.901,0,0,0,0,NAN,
8.01,0,-0.005,-0.005,0,NAN,
